
62016, 71808, 58112, 60032, 91264, 76288, 81280, 58240, 64832, 48512,
51392, 82752, 71168, 87040, 60608, 73216, 64384, 74496, 85760, 71424,
68224, 76352, 63488, 49984, 63488, 57792, 79168, 66944, 85824, 86528,
77056, 56192, 56192, 72064, 51392, 113408, 58560, 87744, 51392, 66240,
74176, 91968, 50688, 78464, 54272, 78464, 94208, 62720, 62784, 52608,
64256, 89600, 103424, 72640, 70208, 90752, 38464, 58880, 54656, 66880,
59008, 62720, 48960, 51008, 70720, 61120, 60736, 66112, 74176, 62976,
51008, 58880, 49344, 58048, 71680, 71104, 86528, 58880, 47104, 49984,
58880, 52032, 80896, 83520, 56768, 90752, 42688, 36352, 98048, 53824,
56064, 46336, 61056, 85504, 68800, 73472, 52608, 68160, 80064, 85184,
58240, 58624, 61120, 55744, 66112, 50880, 61888, 61824, 73216, 59584,
69312, 75136, 63616, 65408, 104256, 45632, 75776, 84096, 68608, 78272,
71104, 80704, 81600, 72000, 79232, 84160, 72192, 82624, 76480, 74048,
77696, 100096, 97024, 115904, 97728, 67712, 90112, 78528, 83648, 80128,
74496, 67264, 74432, 68672, 84416, 52608, 67264, 61312, 68224, 83712,
64320, 59712, 41472, 48896, 46272, 60352, 58624, 68672, 65024, 73792,
88896, 63936, 71360, 64448, 59904, 65152, 81600, 84480, 84672, 57728,
52928, 59264, 70336, 48064, 58752, 55808, 77184, 68160, 71808, 64832,
46528, 48256, 59008, 58048, 64960, 70080, 58816, 50112, 41728, 63296,
59520, 65408, 55744, 68224, 57728, 65728, 81920, 76224, 66944, 72192,
71168, 59392, 75776, 78336, 53376, 59584, 83008, 63808, 46976, 72576,
79424, 77952, 85120, 67520, 68416, 81856, 71808, 61504, 66304, 68672,
60352, 74432, 53632, 49664, 71488, 50816, 49216, 72512, 80704, 80896,
59968, 72192, 69760, 70528, 71168, 60992, 57920, 67200, 61440, 62144,
72640, 91456, 66688, 62656, 76736, 48384, 53504, 59200, 59008, 69184,
51712, 64832, 60416, 49408, 54080, 59328, 59840, 63424, 52480, 57536,
48384, 67264, 59584, 62016, 56192, 50496, 53376, 55040, 52480, 49152,
64512, 76736, 80256, 69760, 55360, 49216, 52096, 88512, 62144, 38528,
40640, 44288, 36608, 50112, 46016, 40832, 52992, 69568, 65408, 56064,
63808, 73216, 78144, 44288, 67584, 44864, 48704, 58048, 41088, 44160,
52096, 43520, 146304, 30656, 42432, 46656, 43072, 60608, 43264, 58816,
38272, 100160, 47936, 50176, 62016, 48256, 43456, 48512, 85568, 72832,
83264, 69248, 70656, 52224, 46016, 59264, 56512, 90112, 66624, 67008,
41152, 70272, 75072, 80320, 72192, 75456, 81536, 95936, 103232, 89600,
81152, 80320, 65600, 72960, 79424, 81984, 75456, 67520, 85952, 77440,
63808, 73728, 78912, 64960, 94656, 106112, 83136, 69824, 74432, 63168,
50048, 62912, 78656, 81088, 94528, 92416, 95488, 105664, 73152, 67008,
65728, 82048, 68672, 47232, 51648, 41280, 68544, 76736, 45696, 49664,
48256, 91648, 54144, 47872, 56896, 58112, 40320, 52096, 66880, 60736,
58496, 47680, 74176, 54080, 34368, 76864, 56768, 45312, 76608, 80000,
47424, 67520, 48128, 65408, 62848, 58240, 51776, 53696, 60544, 45248,
44928, 42752, 49216, 53184, 43904, 76480, 73920, 43136, 49664, 59648,
47808, 86848, 48512, 61504, 55360, 47360, 43136, 58496, 69696, 52480,
49664, 55360, 60224, 62720, 66560, 50688, 64576, 81280, 42240, 87936,
49920, 64640, 47168, 57024, 47232, 56192, 53952, 62208, 64576, 52352,
36032, 64000, 65856, 54208, 50432, 51968, 64256, 81024, 45696, 49472,
47552, 54400, 46656, 55232, 54208, 46848, 40448, 53504, 103424, 115904,
104448, 116032, 81024, 49216, 39360, 51776, 53184, 62144, 43840, 59328,
67712, 68480, 76928, 67520, 80384, 64000, 70336, 66432, 72960, 46656,
50560, 37760, 45120, 40192, 50880, 63616, 62528, 54400, 45760, 89216,
77312, 46848, 51904, 43136, 49984, 41280, 91776, 58112, 83136, 63744,
75648, 51200, 43136, 75584, 48256, 71616, 69696, 61888, 41280, 95616,
44416, 74304, 73472, 58304, 47936, 58048, 45312, 60160, 57152, 55744,
65920, 90112, 69248, 75712, 71872, 82176, 57792, 46272, 70720, 71808,
52800, 57472, 56448, 47488, 73920, 49472, 59520, 70784, 81024, 75584,
55360, 89344, 83200, 76928, 61696, 62016, 66560, 68672, 78720, 71104,
50688, 57600, 60288, 81280, 67520, 66560, 64256, 71232, 77760, 85824,
72704, 76352, 61696, 76736, 65152, 62720, 62080, 47808, 45376, 56192,
70080, 61440, 54208, 71488, 58880, 58560, 50368, 64576, 84160, 48256,
81280, 50688, 52928, 66432, 87040, 43520, 94464, 76736, 85440, 87296,
94464, 70976, 66560, 73920, 61760, 64256, 95744, 72064, 79872, 62336,
56000, 57344, 85376, 70656, 76864, 65536, 88384, 65728, 82432, 75648,
81600, 49280, 72640, 61312, 70208, 56192, 64768, 68096, 74880, 53376,
56000, 50048, 59328, 48512, 41472, 45696, 85824, 41856, 72128, 63936,
75840, 71488, 79104, 61056, 83392, 48384, 61056, 57088, 92160, 102720,
95936, 85056, 57856, 65408, 84672, 55360, 64768, 65408, 73472, 79424,
58880, 50176, 45696, 51648, 53376, 46272, 87936, 69568, 52352, 66496,
58048, 62848, 48960, 42240, 41472, 49088, 60480, 66432, 65856, 53248,
57664, 72896, 53888, 68352, 65984, 55424, 80512, 72192, 83584, 87424,
79552, 61696, 61184, 64448, 71488, 79040, 59648, 66496, 64000, 67456,
53184, 52096, 64576, 65792, 97344, 85376, 61760, 47424, 53568, 41856,
44416, 42880, 70016, 62080, 52672, 68352, 50240, 50432, 52288, 66176,
39616, 48832, 66304, 46208, 49792, 56448, 32768, 60160, 90496, 71360,
49408, 51392, 52480, 51648, 74624, 88960, 66560, 65984, 59008, 49792,
53696, 31104, 60800, 71104, 70848, 62336, 100032, 36608, 53184, 41664,
54976, 68032, 66432, 54784, 69632, 51072, 60224, 50176, 65664, 61504,
45376, 51520, 41728, 42112, 40448, 92608, 56896, 43136, 42176, 43840,
56448, 42432, 48768, 47424, 60544, 44416, 52032, 42240, 60800, 65792,
73664, 51392, 76224, 51648, 59200, 59008, 75904, 46016, 38848, 62784,
51712, 63424
